belief,policy,budget,room_change_cost,day_index,n,task_accuracy,belief_accuracy,senses_per_question,cost_per_question
LastObservation,NeverSense,24,1,25,900,0.513333,0.509925,0.0,0.0
LastObservation,NeverSense,24,1,26,900,0.611111,0.626421,0.0,0.0
LastObservation,NeverSense,24,1,27,900,0.666667,0.691378,0.0,0.0
LastObservation,NeverSense,24,2,3,900,0.604444,0.601335,0.0,0.0
LastObservation,NeverSense,24,2,4,900,0.546667,0.53062,0.0,0.0
LastObservation,NeverSense,24,2,5,900,0.633333,0.626977,0.0,0.0
LastObservation,NeverSense,24,2,6,900,0.697778,0.693029,0.0,0.0
LastObservation,NeverSense,24,2,7,900,0.551111,0.543833,0.0,0.0
LastObservation,NeverSense,24,2,8,900,0.562222,0.55385,0.0,0.0
LastObservation,NeverSense,24,2,9,900,0.574444,0.565618,0.0,0.0
LastObservation,NeverSense,24,2,10,900,0.565556,0.559114,0.0,0.0
LastObservation,NeverSense,24,2,11,900,0.571111,0.554638,0.0,0.0
LastObservation,NeverSense,24,2,12,900,0.67,0.662381,0.0,0.0
LastObservation,NeverSense,24,2,13,900,0.704444,0.701532,0.0,0.0
LastObservation,NeverSense,24,2,14,900,0.546667,0.541543,0.0,0.0
LastObservation,NeverSense,24,2,15,900,0.521111,0.531061,0.0,0.0
LastObservation,NeverSense,24,2,16,900,0.524444,0.521049,0.0,0.0
LastObservation,NeverSense,24,2,17,900,0.546667,0.548182,0.0,0.0
LastObservation,NeverSense,24,2,18,900,0.534444,0.526781,0.0,0.0
LastObservation,NeverSense,24,2,19,900,0.641111,0.640301,0.0,0.0
LastObservation,NeverSense,24,2,20,900,0.71,0.692163,0.0,0.0
LastObservation,NeverSense,24,2,21,900,0.556667,0.54085,0.0,0.0
LastObservation,NeverSense,24,2,22,900,0.548889,0.540073,0.0,0.0
LastObservation,NeverSense,24,2,23,900,0.55,0.544161,0.0,0.0
LastObservation,NeverSense,24,2,24,900,0.521111,0.537295,0.0,0.0
LastObservation,NeverSense,24,2,25,900,0.513333,0.509925,0.0,0.0
LastObservation,NeverSense,24,2,26,900,0.611111,0.626421,0.0,0.0
LastObservation,NeverSense,24,2,27,900,0.666667,0.691378,0.0,0.0
LastObservation,NeverSense,90,0,3,900,0.604444,0.601261,0.0,0.0
LastObservation,NeverSense,90,0,4,900,0.547778,0.530503,0.0,0.0
LastObservation,NeverSense,90,0,5,900,0.633333,0.627009,0.0,0.0
LastObservation,NeverSense,90,0,6,900,0.697778,0.69291,0.0,0.0
LastObservation,NeverSense,90,0,7,900,0.551111,0.543933,0.0,0.0
LastObservation,NeverSense,90,0,8,900,0.562222,0.553914,0.0,0.0
LastObservation,NeverSense,90,0,9,900,0.574444,0.565491,0.0,0.0
LastObservation,NeverSense,90,0,10,900,0.565556,0.559114,0.0,0.0
LastObservation,NeverSense,90,0,11,900,0.571111,0.554556,0.0,0.0
LastObservation,NeverSense,90,0,12,900,0.67,0.662381,0.0,0.0
LastObservation,NeverSense,90,0,13,900,0.703333,0.701514,0.0,0.0
LastObservation,NeverSense,90,0,14,900,0.546667,0.541513,0.0,0.0
LastObservation,NeverSense,90,0,15,900,0.521111,0.531061,0.0,0.0
LastObservation,NeverSense,90,0,16,900,0.524444,0.521049,0.0,0.0
LastObservation,NeverSense,90,0,17,900,0.546667,0.547911,0.0,0.0
LastObservation,NeverSense,90,0,18,900,0.534444,0.526432,0.0,0.0
LastObservation,NeverSense,90,0,19,900,0.641111,0.640301,0.0,0.0
LastObservation,NeverSense,90,0,20,900,0.71,0.692163,0.0,0.0
LastObservation,NeverSense,90,0,21,900,0.556667,0.540394,0.0,0.0
LastObservation,NeverSense,90,0,22,900,0.548889,0.540012,0.0,0.0
LastObservation,NeverSense,90,0,23,900,0.55,0.544072,0.0,0.0
LastObservation,NeverSense,90,0,24,900,0.521111,0.537295,0.0,0.0
LastObservation,NeverSense,90,0,25,900,0.512222,0.509894,0.0,0.0
LastObservation,NeverSense,90,0,26,900,0.611111,0.626421,0.0,0.0
LastObservation,NeverSense,90,0,27,900,0.666667,0.691408,0.0,0.0
LastObservation,NeverSense,90,0.25,3,900,0.604444,0.601261,0.0,0.0
LastObservation,NeverSense,90,0.25,4,900,0.547778,0.530503,0.0,0.0
LastObservation,NeverSense,90,0.25,5,900,0.633333,0.627009,0.0,0.0
LastObservation,NeverSense,90,0.25,6,900,0.697778,0.69291,0.0,0.0
LastObservation,NeverSense,90,0.25,7,900,0.551111,0.543933,0.0,0.0
LastObservation,NeverSense,90,0.25,8,900,0.562222,0.553914,0.0,0.0
LastObservation,NeverSense,90,0.25,9,900,0.574444,0.565491,0.0,0.0
LastObservation,NeverSense,90,0.25,10,900,0.565556,0.559114,0.0,0.0
LastObservation,NeverSense,90,0.25,11,900,0.571111,0.554556,0.0,0.0
LastObservation,NeverSense,90,0.25,12,900,0.67,0.662381,0.0,0.0
LastObservation,NeverSense,90,0.25,13,900,0.703333,0.701514,0.0,0.0
LastObservation,NeverSense,90,0.25,14,900,0.546667,0.541513,0.0,0.0
LastObservation,NeverSense,90,0.25,15,900,0.521111,0.531061,0.0,0.0
LastObservation,NeverSense,90,0.25,16,900,0.524444,0.521049,0.0,0.0
LastObservation,NeverSense,90,0.25,17,900,0.546667,0.547911,0.0,0.0
LastObservation,NeverSense,90,0.25,18,900,0.534444,0.526432,0.0,0.0
LastObservation,NeverSense,90,0.25,19,900,0.641111,0.640301,0.0,0.0
LastObservation,NeverSense,90,0.25,20,900,0.71,0.692163,0.0,0.0
LastObservation,NeverSense,90,0.25,21,900,0.556667,0.540394,0.0,0.0
LastObservation,NeverSense,90,0.25,22,900,0.548889,0.540012,0.0,0.0
LastObservation,NeverSense,90,0.25,23,900,0.55,0.544072,0.0,0.0
LastObservation,NeverSense,90,0.25,24,900,0.521111,0.537295,0.0,0.0
LastObservation,NeverSense,90,0.25,25,900,0.512222,0.509894,0.0,0.0
LastObservation,NeverSense,90,0.25,26,900,0.611111,0.626421,0.0,0.0
LastObservation,NeverSense,90,0.25,27,900,0.666667,0.691408,0.0,0.0
LastObservation,NeverSense,90,0.5,3,900,0.604444,0.601261,0.0,0.0
LastObservation,NeverSense,90,0.5,4,900,0.547778,0.530503,0.0,0.0
LastObservation,NeverSense,90,0.5,5,900,0.633333,0.627009,0.0,0.0
